"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belarus","Total renewable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,57.9,"I",,1997,57.9,"I",,2002,57.9,"I",,2007,57.9,"I",,2012,57.9,"I",,2017,57.9,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belgium","Total renewable water resources (10^9 m3/year)",1962,18.3,"I",,1967,18.3,"I",,1972,18.3,"I",,1977,18.3,"I",,1982,18.3,"I",,1987,18.3,"I",,1992,18.3,"I",,1997,18.3,"I",,2002,18.3,"I",,2007,18.3,"I",,2012,18.3,"I",,2017,18.3,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belize","Total renewable water resources (10^9 m3/year)",1962,21.73,"",,1967,21.73,"",,1972,21.73,"",,1977,21.73,"",,1982,21.73,"",,1987,21.73,"",,1992,21.73,"",,1997,21.73,"",,2002,21.73,"",,2007,21.73,"",,2012,21.73,"",,2017,21.73,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Benin","Total renewable water resources (10^9 m3/year)",1962,26.39,"I",,1967,26.39,"I",,1972,26.39,"I",,1977,26.39,"I",,1982,26.39,"I",,1987,26.39,"I",,1992,26.39,"I",,1997,26.39,"I",,2002,26.39,"I",,2007,26.39,"I",,2012,26.39,"I",,2017,26.39,"I",

