"Bahamas","Total renewable surface water (10^9 m3/yr)",1962,0.0,"E",,1967,0.0,"E",,1972,0.0,"E",,1977,0.0,"E",,1982,0.0,"E",,1987,0.0,"E",,1992,0.0,"E",,1997,0.0,"E",,2002,0.0,"E",,2007,0.0,"E",,2012,0.0,"E",,2017,0.0,"E",,,,"",
"Bahamas","Total renewable groundwater (10^9 m3/yr)",1962,0.0,"E",,1967,0.0,"E",,1972,0.0,"E",,1977,0.0,"E",,1982,0.0,"E",,1987,0.0,"E",,1992,0.0,"E",,1997,0.0,"E",,2002,0.0,"E",,2007,0.0,"E",,2012,0.0,"E",,2017,0.0,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bahrain","Total renewable surface water (10^9 m3/yr)",1962,0.004,"E",,1967,0.004,"E",,1972,0.004,"E",,1977,0.004,"E",,1982,0.004,"E",,1987,0.004,"E",,1992,0.004,"E",,1997,0.004,"E",,2002,0.004,"E",,2007,0.004,"E",,2012,0.004,"E",,2017,0.004,"E",,,,"",
"Bahrain","Total renewable groundwater (10^9 m3/yr)",1962,0.112,"E",,1967,0.112,"E",,1972,0.112,"E",,1977,0.112,"E",,1982,0.112,"E",,1987,0.112,"E",,1992,0.112,"E",,1997,0.112,"E",,2002,0.112,"E",,2007,0.112,"E",,2012,0.112,"E",,2017,0.112,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bangladesh","Total renewable surface water (10^9 m3/yr)",1962,1205.91,"E",,1967,1205.91,"E",,1972,1205.91,"E",,1977,1205.91,"E",,1982,1205.91,"E",,1987,1205.91,"E",,1992,1205.91,"E",,1997,1205.91,"E",,2002,1205.91,"E",,2007,1205.91,"E",,2012,1205.91,"E",,2017,1205.91,"E",,,,"",
"Bangladesh","Total renewable groundwater (10^9 m3/yr)",1962,21.122,"E",,1967,21.122,"E",,1972,21.122,"E",,1977,21.122,"E",,1982,21.122,"E",,1987,21.122,"E",,1992,21.122,"E",,1997,21.122,"E",,2002,21.122,"E",,2007,21.122,"E",,2012,21.122,"E",,2017,21.122,"E",,,,"",
